DNS_Name,Harmless,Malicious,Suspicious,Undetected
www.google.com.,73,1,0,13
www.google.com.,73,1,0,13
v10.vortex-win.data.microsoft.com.,72,0,0,14
v10-win.vortex.data.trafficmanager.net.,78,0,0,12
v10-win.vortex.data.trafficmanager.net.,78,0,0,12
onedscolprdwus00.westus.cloudapp.azure.com.,78,0,0,12
onedscolprdwus00.westus.cloudapp.azure.com.,78,0,0,12
outlook.office365.com.,72,0,0,14
outlook.office365.com.,72,0,0,14
outlook.ha.office365.com.,72,0,0,14
outlook.ha.office365.com.,72,0,0,14
outlook.ms-acdc.office.com.,79,0,0,11
outlook.ms-acdc.office.com.,72,0,0,14
MAA-efz.ms-acdc.office.com.,79,0,0,9
MAA-efz.ms-acdc.office.com.,79,0,0,9
outlook.ha.office365.com.,72,0,0,14
MAA-efz.ms-acdc.office.com.,79,0,0,9
ak.privatelink.msidentity.com.,77,0,0,13
ak.privatelink.msidentity.com.,77,0,0,13
www.tm.ak.prd.aadg.trafficmanager.net.,72,0,0,14
www.tm.ak.prd.aadg.trafficmanager.net.,72,0,0,14
www.tm.ak.prd.aadg.trafficmanager.net.,72,0,0,14
mail.google.com.,73,0,0,13
time.windows.com.,78,0,0,13
time.windows.com.,78,0,0,13
twc.trafficmanager.net.,80,0,0,10
twc.trafficmanager.net.,80,0,0,10
time.windows.com.,72,0,0,14
time.windows.com.,72,0,0,14
twc.trafficmanager.net.,72,0,0,14
twc.trafficmanager.net.,72,0,0,14
dns.msftncsi.com.,72,0,0,14
msftncsi.com.,72,0,0,14
time.google.com.,78,0,0,12
time.google.com.,78,0,0,12
time.google.com.,78,0,0,12
time.google.com.,72,0,0,14
ntp.checkpoint.com.,59,0,0,7
ntp.checkpoint.com.,59,0,0,7
us-ntp1.us.checkpoint.com.,83,0,0,10
ntp.checkpoint.com.,59,0,0,7
ntp.checkpoint.com.,59,0,0,7
us-ntp1.us.checkpoint.com.,83,0,0,10
us-ntp1.us.checkpoint.com.,83,0,0,10
us-ntp1.us.checkpoint.com.,83,0,0,10
pool.ntp.org.,78,0,0,13
pool.ntp.org.,78,0,0,13
pool.ntp.org.,78,0,0,13
pool.ntp.org.,78,0,0,13
www.pool.ntp.org.,77,0,0,13
www.pool.ntp.org.,77,0,0,13
dualstack.k.sni.global.fastly.net.,83,0,0,10
www-lb.ntppool.org.,64,0,0,8
www-lb.ntppool.org.,64,0,0,8
www.pool.ntp.org.,71,0,0,15
www.pool.ntp.org.,71,0,0,15
www-lb.ntppool.org.,71,0,0,15
www-lb.ntppool.org.,71,0,0,15
k.sni.global.fastly.net.,78,0,0,12
beam.scs.splunk.com.,77,0,0,13
threat-emulation.g04.checkpoint.com.,84,0,0,9
tc-cloud-us.g04.checkpoint.com.,0,0,0,0
tc-cloud-us.g04.checkpoint.com.,0,0,0,0
tc-te-prod-us-east-1-eks-up-cp-1305747742.us-east-1.elb.amazonaws.com.,0,0,0,0
sinkhole.paloaltonetworks.com.,71,0,0,15
